"filename", "language", "JSON with Comments", "CSS", "HTML", "JSON", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-view-admin-routed\usuario-view-admin-routed.component.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-view-admin-routed\usuario-view-admin-routed.component.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-view-admin-routed\usuario-view-admin-routed.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\routed\admin\usuario-view-admin-routed\usuario-view-admin-routed.component.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 8, 38
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\usuario-detail-admin-unrouted\usuario-detail-admin-unrouted.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\usuario-detail-admin-unrouted\usuario-detail-admin-unrouted.component.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 0, 26
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\usuario-detail-admin-unrouted\usuario-detail-admin-unrouted.component.spec.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\application\usuario\usuario-detail-admin-unrouted\usuario-detail-admin-unrouted.component.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 11, 40
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\shared\routed\home\home.component.css", "CSS", 0, 249, 0, 0, 0, 0, 0, 16, 265
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\shared\routed\home\home.component.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 1, 39
"c:\Users\abeni\OneDrive\Escritorio\daw2\proyecto\sneakshopClient\src\app\component\shared\routed\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 6, 24
